timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111619159,177,Petición HTTP,502,Bad Gateway,Alcaldia 1-407,text,false,,155,191,418,418,177,0,38
1485111619164,177,Petición HTTP,502,Bad Gateway,Alcaldia 1-411,text,false,,155,191,418,418,177,0,47
1485111619177,170,Petición HTTP,502,Bad Gateway,Alcaldia 1-424,text,false,,155,191,421,421,170,0,38
1485111619166,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-413,text,false,,155,191,421,421,182,0,45
1485111619180,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-426,text,false,,155,191,420,420,168,0,35
1485111619161,187,Petición HTTP,502,Bad Gateway,Alcaldia 1-409,text,false,,155,191,420,420,187,0,50
1485111619167,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-414,text,false,,155,191,421,421,182,0,47
1485111619203,165,Petición HTTP,502,Bad Gateway,Alcaldia 1-448,text,false,,155,191,422,422,165,0,50
1485111619204,164,Petición HTTP,502,Bad Gateway,Alcaldia 1-449,text,false,,155,191,422,422,164,0,49
1485111619186,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-432,text,false,,155,191,422,422,182,0,46
1485111619185,183,Petición HTTP,502,Bad Gateway,Alcaldia 1-431,text,false,,155,191,422,422,183,0,47
1485111619188,180,Petición HTTP,502,Bad Gateway,Alcaldia 1-434,text,false,,155,191,422,422,180,0,45
1485111619202,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-447,text,false,,155,191,422,422,166,0,39
1485111619182,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-428,text,false,,155,191,422,422,186,0,50
1485111619187,181,Petición HTTP,502,Bad Gateway,Alcaldia 1-433,text,false,,155,191,422,422,181,0,45
1485111619183,185,Petición HTTP,502,Bad Gateway,Alcaldia 1-429,text,false,,155,191,422,422,185,0,48
1485111619178,190,Petición HTTP,502,Bad Gateway,Alcaldia 1-425,text,false,,155,191,422,422,190,0,37
1485111619176,192,Petición HTTP,502,Bad Gateway,Alcaldia 1-423,text,false,,155,191,422,422,192,0,39
1485111619184,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-430,text,false,,155,191,422,422,184,0,47
1485111619182,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-427,text,false,,155,191,422,422,186,0,47
1485111619207,190,Petición HTTP,502,Bad Gateway,Alcaldia 1-452,text,false,,155,191,446,446,190,0,46
1485111619209,188,Petición HTTP,502,Bad Gateway,Alcaldia 1-454,text,false,,155,191,446,446,188,0,45
1485111619210,188,Petición HTTP,502,Bad Gateway,Alcaldia 1-455,text,false,,155,191,446,446,188,0,43
1485111619206,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-451,text,false,,155,191,446,446,193,0,48
1485111619201,198,Petición HTTP,502,Bad Gateway,Alcaldia 1-446,text,false,,155,191,446,446,198,0,54
1485111619205,195,Petición HTTP,502,Bad Gateway,Alcaldia 1-450,text,false,,155,191,446,446,195,0,50
1485111619208,192,Petición HTTP,502,Bad Gateway,Alcaldia 1-453,text,false,,155,191,446,446,192,0,46
1485111619232,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-475,text,false,,155,191,448,448,174,0,38
